date,total,manufacturas,mineria,utilities
2022-09-01,97.87393099366454,97.15292213574787,97.73396801138104,101.00410204615874
2022-10-01,97.88356974052427,97.22482438305657,98.10052628446948,100.01417698898673
2022-11-01,97.83808388159751,97.04427572529244,98.42884926507598,100.27182696264892
2022-12-01,97.34634660869233,96.30440292221836,97.59707176055309,101.99837940694742
2023-01-01,97.10524899075227,96.0381399126533,98.24073162606497,100.80728831643296
2023-02-01,97.0041549768654,96.04692943369379,98.74602144402047,99.26670084505095
2023-03-01,97.40843432257823,96.41063717088447,100.03459251188907,98.92350890398114
2023-04-01,97.64956417712985,96.52318269217743,100.05884063919397,100.73211507234744
2023-05-01,97.74208325233883,96.56068685150433,100.1600876936861,101.55623656306265
2023-06-01,97.45166361869504,96.58266065410557,100.10678074409496,99.17021411413661
2023-07-01,97.34002823282442,96.42857968939948,100.12657967372922,99.3989340696407
2023-08-01,97.31124093869145,96.31947067257347,99.89588877450744,100.29112430883178
2023-09-01,97.60185399200468,96.4456961251099,100.03400855469482,101.92605436155226
2023-10-01,97.4607221065465,96.27337525207918,99.7066032211079,102.0795370685059
2023-11-01,97.468652312993,96.26772484569601,99.89705668889599,101.9960432439767
2023-12-01,97.3339032766259,96.24816320488407,99.90812406810164,101.09630047792133
2024-01-01,96.9320416767809,95.9044136282515,98.679589361301,101.34607790239447
2024-02-01,96.74542393239595,95.80759672355732,98.7446866847193,100.17761239024033
2024-03-01,96.69848742594847,95.75641263298694,98.392059961837,100.33954368656758
2024-04-01,97.02765546670071,96.02680605657476,99.59859894765354,100.08685405893914
2024-05-01,97.2139830815815,96.07613972166295,99.17589736145895,101.92173406016803
2024-06-01,97.35469589108925,96.02221303618143,99.3286438789885,103.37223524713083
2024-07-01,97.26839848191348,95.89079978363237,99.13479789797657,103.7645506150509
2024-08-01,97.12910408331487,95.73212579853293,99.40500323401056,103.37450740563662
2024-09-01,96.77914342809929,95.45456197620153,99.09753586748509,102.51131118906854
2024-10-01,96.61596170032652,95.21618752211835,99.24658398945094,102.48734151694423
2024-11-01,96.24898011420142,94.91886379910193,98.8397604774434,101.84905699021563
2024-12-01,96.41625589164373,94.94067238514226,99.26340751814301,103.05550915231845
2025-01-01,96.60812820371473,95.04720402361802,98.74399149758325,104.83134503462959
2025-02-01,97.1905793015809,95.45390110995788,99.04328346338895,106.88774448905555
2025-03-01,97.42045857869425,95.86277905490176,99.17089201407948,105.92514933841784
2025-04-01,97.7631982329179,96.37960950074527,99.96635294261591,104.7071123681588
2025-05-01,97.7200656466358,96.47636031881508,100.32921282014063,103.53679072652108
2025-06-01,97.86129424192866,96.53901043871275,100.6247229679263,104.28493891733888
2025-07-01,98.10825892317469,96.78283703930602,100.97615396893458,104.6373475013617
2025-08-01,98.3085127542542,97.04338355586351,101.48060956232688,104.243240008423
2025-09-01,98.40502916929798,97.24577384298016,101.50502453454442,103.7115229158386
2025-10-01,98.28327148739403,97.0990615368907,101.32650047801069,103.73424450089637
2025-11-01,98.40128972235573,97.07966511263969,101.44037213089318,104.74647511410394
