fecha,cetes_28
2008-06-24,7.74
2008-07-01,7.75
2008-07-08,7.76
2008-07-15,8.02
2008-07-22,8.01
2008-07-29,8.09
2008-08-05,8.11
2008-08-12,8.18
2008-08-19,8.21
2008-08-26,8.21
2008-09-02,8.18
2008-09-09,8.17
2008-09-15,8.16
2008-09-23,8.15
2008-09-30,8.12
2008-10-07,7.99
2008-10-14,7.8
2008-10-21,7.58
2008-10-28,7.22
2008-11-04,7.1
2008-11-11,7.08
2008-11-18,7.72
2008-11-25,7.82
2008-12-02,8.03
2008-12-09,8.04
2008-12-16,8.03
2008-12-22,8.01
2008-12-29,7.97
2009-01-06,7.91
2009-01-13,7.7
2009-01-20,7.44
2009-01-27,7.31
2009-02-03,7.16
2009-02-10,7.07
2009-02-17,7.0
2009-02-24,7.24
2009-03-03,7.25
2009-03-10,7.18
2009-03-17,7.18
2009-03-24,6.52
2009-03-31,6.35
2009-04-06,6.24
2009-04-14,6.06
2009-04-21,5.84
2009-04-28,5.74
2009-05-05,5.54
2009-05-12,5.36
2009-05-19,5.18
2009-05-26,5.09
2009-06-02,5.08
2009-06-09,5.1
2009-06-16,5.01
2009-06-23,4.72
2009-06-30,4.72
2009-07-07,4.65
2009-07-14,4.55
2009-07-21,4.52
2009-07-28,4.51
2009-08-04,4.5
2009-08-11,4.49
2009-08-18,4.48
2009-08-25,4.47
2009-09-01,4.47
2009-09-08,4.47
2009-09-14,4.49
2009-09-22,4.5
2009-09-29,4.51
2009-10-06,4.51
2009-10-13,4.51
2009-10-20,4.51
2009-10-27,4.52
2009-11-03,4.52
2009-11-10,4.52
2009-11-17,4.5
2009-11-24,4.49
2009-12-01,4.51
2009-12-08,4.48
2009-12-15,4.51
2009-12-22,4.5
2009-12-29,4.51
2010-01-05,4.5
2010-01-12,4.5
2010-01-19,4.49
2010-01-26,4.48
2010-02-02,4.47
2010-02-09,4.49
2010-02-16,4.49
2010-02-23,4.49
2010-03-02,4.49
2010-03-09,4.41
2010-03-16,4.43
2010-03-23,4.46
2010-03-29,4.45
2010-04-06,4.43
2010-04-13,4.41
2010-04-20,4.46
2010-04-27,4.45
2010-05-04,4.49
2010-05-11,4.49
2010-05-18,4.53
2010-05-25,4.55
2010-06-01,4.58
2010-06-08,4.59
2010-06-15,4.6
2010-06-22,4.59
2010-06-29,4.6
2010-07-06,4.59
2010-07-13,4.59
2010-07-20,4.59
2010-07-27,4.6
2010-08-03,4.56
