fecha,SP30578,SP74662,SP74665
1984-02-01,73.25,75.28,66.67
1984-03-01,72.31,73.92,67.08
1984-04-01,69.06,70.15,65.63
1984-05-01,67.41,67.85,66.0
1984-06-01,67.14,68.24,63.63
1984-07-01,64.49,64.61,64.09
1984-08-01,62.84,61.61,67.04
1984-09-01,62.68,62.04,64.91
1984-10-01,62.96,63.47,61.22
1984-11-01,59.2,59.66,57.65
1984-12-01,59.16,59.45,58.13
1985-01-01,60.75,59.29,65.58
1985-02-01,59.04,57.29,64.97
1985-03-01,58.43,57.76,60.71
1985-04-01,56.53,56.87,55.43
1985-05-01,55.1,56.78,49.7
1985-06-01,53.43,54.92,48.54
1985-07-01,53.73,54.8,50.2
1985-08-01,56.02,57.38,51.5
1985-09-01,57.55,58.63,53.89
1985-10-01,58.02,58.77,55.39
1985-11-01,59.82,60.9,56.05
1985-12-01,63.75,61.28,72.36
1986-01-01,65.92,66.38,64.45
1986-02-01,66.38,67.51,62.73
1986-03-01,67.62,68.66,64.16
1986-04-01,71.11,73.03,64.77
1986-05-01,76.44,78.04,71.05
1986-06-01,83.17,85.26,76.05
1986-07-01,85.84,87.97,78.56
1986-08-01,92.25,90.09,99.71
1986-09-01,95.96,93.4,104.96
1986-10-01,99.58,97.77,106.05
1986-11-01,103.67,101.62,111.07
1986-12-01,105.75,107.88,98.79
1987-01-01,104.34,107.35,94.63
1987-02-01,109.76,111.92,102.56
1987-03-01,113.69,115.44,107.7
1987-04-01,120.86,119.08,126.99
1987-05-01,125.0,121.98,135.58
1987-06-01,126.73,122.86,140.63
1987-07-01,133.44,130.46,144.17
1987-08-01,133.88,133.99,133.51
1987-09-01,135.18,136.59,130.48
1987-10-01,141.0,141.41,139.57
1987-11-01,143.65,147.12,131.69
1987-12-01,159.17,158.02,163.08
1988-01-01,176.83,169.71,201.29
1988-02-01,179.73,176.85,189.78
1988-03-01,175.83,174.1,181.96
1988-04-01,161.44,162.92,156.5
1988-05-01,147.82,149.92,140.88
1988-06-01,135.81,135.78,135.94
1988-07-01,121.79,119.23,130.48
1988-08-01,106.92,106.29,108.97
1988-09-01,95.24,92.39,104.91
1988-10-01,81.59,78.02,93.96
1988-11-01,70.5,64.26,93.36
1988-12-01,51.66,48.76,61.34
1989-01-01,34.56,35.59,31.39
1989-02-01,25.89,25.31,27.83
1989-03-01,21.05,19.87,25.16
1989-04-01,19.2,17.91,23.6
1989-05-01,18.54,16.88,24.23
1989-06-01,17.58,16.37,21.62
1989-07-01,16.81,16.3,18.46
1989-08-01,16.85,16.5,17.99
1989-09-01,17.3,18.01,15.03
1989-10-01,18.13,19.35,14.26
1989-11-01,18.21,20.18,12.05
1989-12-01,19.7,21.45,14.31
1990-01-01,22.48,22.23,23.24
1990-02-01,23.57,22.02,28.63
1990-03-01,24.4,22.21,31.65
1990-04-01,24.43,23.11,28.76
1990-05-01,24.89,24.66,25.64
1990-06-01,26.11,26.6,24.52
1990-07-01,27.13,27.97,24.48
1990-08-01,28.08,28.78,25.85
1990-09-01,28.68,28.91,27.9
1990-10-01,28.62,28.69,28.39
1990-11-01,30.21,29.46,32.72
1990-12-01,29.93,29.37,31.76
1991-01-01,27.11,27.89,24.64
1991-02-01,26.46,28.02,21.65
1991-03-01,26.04,27.97,20.14
1991-04-01,25.45,26.88,21.01
1991-05-01,24.51,25.19,22.32
1991-06-01,23.1,23.28,22.53
1991-07-01,21.97,21.94,22.07
1991-08-01,20.76,20.87,20.4
1991-09-01,20.25,20.58,19.15
1991-10-01,19.92,20.31,18.62
1991-11-01,19.72,18.89,22.43
1991-12-01,18.79,17.65,22.47
1992-01-01,17.95,16.71,21.94
1992-02-01,17.3,15.75,22.33
1992-03-01,16.82,15.09,22.5
1992-04-01,16.64,14.9,22.35
1992-05-01,16.28,15.2,19.79
1992-06-01,15.85,15.26,17.77
1992-07-01,15.56,15.18,16.8
1992-08-01,15.46,15.13,16.57
1992-09-01,15.32,14.82,17.01
1992-10-01,14.82,14.01,17.55
1992-11-01,12.96,13.74,10.5
1992-12-01,11.94,12.86,9.09
1993-01-01,11.32,12.21,8.57
1993-02-01,10.91,12.23,6.86
1993-03-01,10.44,12.35,4.57
1993-04-01,10.09,12.06,4.06
1993-05-01,10.0,11.2,6.21
1993-06-01,9.87,10.58,7.61
1993-07-01,9.7,10.14,8.32
1993-08-01,9.62,9.89,8.75
1993-09-01,9.48,9.54,9.28
1993-10-01,9.14,9.46,8.1
1993-11-01,8.72,9.08,7.55
1993-12-01,8.01,8.42,6.71
1994-01-01,7.5,7.77,6.62
1994-02-01,7.18,7.48,6.19
1994-03-01,7.1,7.18,6.84
1994-04-01,7.01,7.14,6.57
1994-05-01,6.92,7.28,5.72
1994-06-01,6.85,7.38,5.12
1994-07-01,6.81,7.31,5.18
1994-08-01,6.74,7.16,5.35
1994-09-01,6.71,7.18,5.16
1994-10-01,6.83,7.09,5.98
1994-11-01,6.93,7.25,5.87
1994-12-01,7.05,7.68,5.0
1995-01-01,10.23,10.93,7.94
1995-02-01,14.31,15.04,11.93
1995-03-01,20.43,19.6,22.46
1995-04-01,29.39,27.86,33.55
1995-05-01,34.15,33.41,35.99
1995-06-01,37.72,37.24,38.78
1995-07-01,39.91,39.62,40.34
1995-08-01,41.57,41.51,41.33
1995-09-01,43.48,43.66,42.58
1995-10-01,45.66,45.43,46.0
1995-11-01,48.46,47.63,50.57
1995-12-01,51.97,50.6,55.57
1996-01-01,51.72,49.94,56.5
1996-02-01,48.95,46.79,55.13
1996-03-01,43.75,43.43,44.68
1996-04-01,36.93,37.0,36.74
1996-05-01,33.83,32.92,36.49
1996-06-01,31.82,30.74,35.01
1996-07-01,31.03,29.99,34.09
1996-08-01,30.6,29.34,34.38
1996-09-01,30.0,28.59,34.26
1996-10-01,28.97,27.81,32.42
1996-11-01,27.77,26.77,30.72
1996-12-01,27.7,25.95,32.77
1997-01-01,26.44,25.04,30.44
1997-02-01,25.64,24.26,29.54
1997-03-01,24.46,22.98,28.68
1997-04-01,22.33,21.21,25.52
1997-05-01,21.23,20.57,23.11
1997-06-01,20.35,19.79,21.93
1997-07-01,19.7,18.99,21.72
1997-08-01,19.18,18.35,21.54
1997-09-01,18.76,17.98,21.01
1997-10-01,18.24,17.73,19.68
1997-11-01,17.77,17.49,18.59
1997-12-01,15.72,16.46,13.68
1998-01-01,15.27,15.79,13.85
1998-02-01,15.35,16.02,13.53
1998-03-01,15.27,15.83,13.74
1998-04-01,15.1,15.68,13.51
1998-05-01,14.97,15.44,13.66
1998-06-01,15.31,15.58,14.55
1998-07-01,15.41,15.52,15.11
1998-08-01,15.5,15.78,14.7
1998-09-01,15.92,16.35,14.74
1998-10-01,16.65,16.9,15.96
1998-11-01,17.41,17.08,18.34
1998-12-01,18.61,17.44,21.89
1999-01-01,19.02,18.01,21.8
1999-02-01,18.54,17.89,20.36
1999-03-01,18.26,18.43,17.77
1999-04-01,18.23,18.49,17.51
1999-05-01,18.01,18.37,16.98
1999-06-01,17.39,17.9,15.97
1999-07-01,17.04,17.77,15.0
1999-08-01,16.58,17.45,14.13
1999-09-01,15.83,16.63,13.53
1999-10-01,14.91,15.85,12.25
1999-11-01,13.92,15.27,10.17
1999-12-01,12.32,14.41,6.69
2000-01-01,11.02,13.17,5.27
2000-02-01,10.52,12.36,5.51
2000-03-01,10.11,11.33,6.71
2000-04-01,9.73,10.59,7.31
2000-05-01,9.48,10.01,7.98
2000-06-01,9.41,9.52,9.09
2000-07-01,9.12,9.17,8.98
2000-08-01,9.1,8.8,9.98
2000-09-01,8.85,8.32,10.4
2000-10-01,8.91,8.11,11.27
2000-11-01,8.87,8.11,11.1
2000-12-01,8.96,7.85,12.17
2001-01-01,8.11,7.26,10.57
2001-02-01,7.09,6.89,7.67
2001-03-01,7.17,6.84,8.15
2001-04-01,7.11,6.79,8.01
2001-05-01,6.95,6.71,7.65
2001-06-01,6.57,6.7,6.21
2001-07-01,5.88,6.51,4.08
2001-08-01,5.93,6.42,4.52
2001-09-01,6.14,6.4,5.38
2001-10-01,5.89,6.12,5.24
2001-11-01,5.39,5.7,4.5
2001-12-01,4.4,5.36,1.75
2002-01-01,4.79,5.1,3.9
2002-02-01,4.79,5.05,4.02
2002-03-01,4.66,4.85,4.1
2002-04-01,4.7,4.72,4.65
2002-05-01,4.68,4.54,5.07
2002-06-01,4.94,4.34,6.69
2002-07-01,5.51,4.32,9.13
2002-08-01,5.29,4.32,8.26
2002-09-01,4.95,4.22,7.13
2002-10-01,4.94,4.2,7.33
2002-11-01,5.39,4.15,9.79
2002-12-01,5.7,4.12,11.33
2003-01-01,5.16,4.06,9.28
2003-02-01,5.52,3.84,11.23
2003-03-01,5.64,3.84,11.92
2003-04-01,5.25,3.83,10.23
2003-05-01,4.7,3.91,7.28
2003-06-01,4.27,3.89,5.65
2003-07-01,4.13,3.89,5.0
2003-08-01,4.04,3.91,4.52
2003-09-01,4.04,3.73,5.19
2003-10-01,3.96,3.71,4.88
2003-11-01,3.98,3.78,4.7
2003-12-01,3.98,3.87,4.37
2004-01-01,4.2,3.8,5.62
2004-02-01,4.53,3.76,7.33
2004-03-01,4.23,3.72,6.06
2004-04-01,4.21,3.71,6.02
2004-05-01,4.29,3.67,6.55
2004-06-01,4.37,3.83,6.33
2004-07-01,4.49,3.87,6.76
2004-08-01,4.82,3.79,8.63
2004-09-01,5.06,3.89,9.38
2004-10-01,5.4,3.96,10.66
2004-11-01,5.43,3.94,10.73
2004-12-01,5.19,3.92,9.67
2005-01-01,4.54,3.91,6.75
2005-02-01,4.27,3.85,5.73
2005-03-01,4.39,3.77,6.54
2005-04-01,4.6,3.62,8.04
2005-05-01,4.6,3.58,8.24
2005-06-01,4.33,3.56,7.12
2005-07-01,4.47,3.59,7.61
2005-08-01,3.95,3.45,5.72
2005-09-01,3.51,3.35,4.06
2005-10-01,3.05,3.3,2.18
2005-11-01,2.91,3.27,1.72
2005-12-01,3.33,3.27,3.53
2006-01-01,3.94,3.11,6.74
2006-02-01,3.75,3.05,6.14
2006-03-01,3.41,3.16,4.26
2006-04-01,3.2,3.32,2.79
2006-05-01,3.0,3.26,2.1
2006-06-01,3.18,3.32,2.72
2006-07-01,3.06,3.37,1.99
2006-08-01,3.47,3.41,3.66
2006-09-01,4.09,3.48,6.23
2006-10-01,4.29,3.47,7.15
2006-11-01,4.09,3.53,6.0
2006-12-01,4.05,3.65,5.42
2007-01-01,3.98,3.9,4.25
2007-02-01,4.11,3.96,4.63
2007-03-01,4.21,3.85,5.41
2007-04-01,3.99,3.7,4.99
2007-05-01,3.95,3.76,4.58
2007-06-01,3.98,3.75,4.81
2007-07-01,4.14,3.79,5.35
2007-08-01,4.03,3.89,4.51
2007-09-01,3.79,3.82,3.69
2007-10-01,3.74,3.92,3.14
2007-11-01,3.93,3.89,4.07
2007-12-01,3.76,3.87,3.39
2008-01-01,3.7,3.84,3.26
2008-02-01,3.72,3.89,3.16
2008-03-01,4.25,4.09,4.77
2008-04-01,4.55,4.3,5.38
2008-05-01,4.95,4.59,6.18
2008-06-01,5.26,4.78,6.9
2008-07-01,5.39,4.88,7.16
2008-08-01,5.57,5.03,7.43
2008-09-01,5.47,5.14,6.59
2008-10-01,5.78,5.1,8.08
2008-11-01,6.23,5.34,9.19
2008-12-01,6.53,5.54,9.8
2009-01-01,6.28,5.54,8.72
2009-02-01,6.2,5.58,8.26
2009-03-01,6.04,5.61,7.47
2009-04-01,6.17,5.64,7.93
2009-05-01,5.98,5.35,8.12
2009-06-01,5.74,5.12,7.83
2009-07-01,5.44,5.02,6.84
2009-08-01,5.08,4.75,6.19
2009-09-01,4.89,4.55,6.03
2009-10-01,4.5,4.59,4.2
2009-11-01,3.86,4.27,2.56
2009-12-01,3.57,4.16,1.72
2010-01-01,4.46,4.48,4.38
2010-02-01,4.83,4.43,6.13
2010-03-01,4.97,4.26,7.27
2010-04-01,4.27,3.93,5.38
2010-05-01,3.92,3.96,3.76
2010-06-01,3.69,3.85,3.19
2010-07-01,3.64,3.74,3.28
2010-08-01,3.68,3.69,3.64
2010-09-01,3.7,3.65,3.86
2010-10-01,4.02,3.51,5.7
2010-11-01,4.32,3.61,6.61
2010-12-01,4.4,3.58,7.09
2011-01-01,3.78,3.27,5.39
2011-02-01,3.57,3.26,4.53
2011-03-01,3.04,3.21,2.46
2011-04-01,3.36,3.18,3.9
2011-05-01,3.25,3.12,3.45
2011-06-01,3.28,3.18,3.34
2011-07-01,3.55,3.19,4.51
2011-08-01,3.42,3.22,3.9
2011-09-01,3.14,3.12,2.98
2011-10-01,3.2,3.19,3.09
2011-11-01,3.48,3.28,4.13
2011-12-01,3.82,3.35,5.34
2012-01-01,4.05,3.34,6.38
2012-02-01,3.87,3.37,5.53
2012-03-01,3.73,3.31,5.12
2012-04-01,3.41,3.39,3.49
2012-05-01,3.85,3.48,5.15
2012-06-01,4.34,3.5,7.26
2012-07-01,4.42,3.59,7.3
2012-08-01,4.57,3.7,7.58
2012-09-01,4.77,3.61,8.81
2012-10-01,4.6,3.58,8.07
2012-11-01,4.18,3.3,7.09
2012-12-01,3.57,2.9,5.74
2013-01-01,3.25,2.88,4.47
2013-02-01,3.55,2.96,5.47
2013-03-01,4.25,3.02,8.29
2013-04-01,4.65,2.95,10.32
2013-05-01,4.63,2.88,10.56
2013-06-01,4.09,2.79,8.39
2013-07-01,3.47,2.5,6.6
2013-08-01,3.46,2.37,7.01
2013-09-01,3.39,2.52,6.2
2013-10-01,3.36,2.48,6.18
2013-11-01,3.62,2.56,7.02
2013-12-01,3.97,2.78,7.84
2014-01-01,4.48,3.21,8.58
2014-02-01,4.23,2.98,8.28
2014-03-01,3.76,2.89,6.54
2014-04-01,3.5,3.11,4.75
2014-05-01,3.51,3.0,5.19
2014-06-01,3.75,3.09,5.96
2014-07-01,4.07,3.25,6.83
2014-08-01,4.15,3.37,6.72
2014-09-01,4.22,3.34,7.11
2014-10-01,4.3,3.32,7.51
2014-11-01,4.17,3.34,6.78
2014-12-01,4.08,3.24,6.7
2015-01-01,3.07,2.34,5.34
2015-02-01,3.0,2.4,4.88
2015-03-01,3.14,2.45,5.29
2015-04-01,3.06,2.31,5.46
2015-05-01,2.88,2.33,4.64
2015-06-01,2.87,2.33,4.63
2015-07-01,2.74,2.31,4.12
2015-08-01,2.59,2.3,3.51
2015-09-01,2.52,2.38,2.96
2015-10-01,2.48,2.47,2.52
2015-11-01,2.21,2.34,1.84
2015-12-01,2.13,2.41,1.28
2016-01-01,2.61,2.64,2.52
2016-02-01,2.87,2.66,3.49
2016-03-01,2.6,2.76,2.12
2016-04-01,2.54,2.83,1.66
2016-05-01,2.6,2.93,1.55
2016-06-01,2.54,2.97,1.16
2016-07-01,2.65,2.97,1.65
2016-08-01,2.73,2.96,1.99
2016-09-01,2.97,3.07,2.65
2016-10-01,3.06,3.1,2.95
2016-11-01,3.31,3.29,3.34
2016-12-01,3.36,3.44,3.13
2017-01-01,4.72,3.84,7.4
2017-02-01,4.86,4.26,6.71
2017-03-01,5.35,4.48,8.02
2017-04-01,5.82,4.72,9.25
2017-05-01,6.16,4.78,10.6
2017-06-01,6.31,4.83,11.09
2017-07-01,6.44,4.94,11.27
2017-08-01,6.66,5.0,11.98
2017-09-01,6.35,4.8,11.28
2017-10-01,6.37,4.77,11.4
2017-11-01,6.63,4.9,11.97
2017-12-01,6.77,4.87,12.62
2018-01-01,5.55,4.56,8.44
2018-02-01,5.34,4.27,8.49
2018-03-01,5.04,4.02,8.03
2018-04-01,4.55,3.71,7.07
2018-05-01,4.51,3.69,6.99
2018-06-01,4.65,3.62,7.79
2018-07-01,4.81,3.63,8.38
2018-08-01,4.9,3.63,8.8
2018-09-01,5.02,3.67,9.15
2018-10-01,4.9,3.73,8.5
2018-11-01,4.72,3.63,8.07
2018-12-01,4.83,3.68,8.4
2019-01-01,4.37,3.6,6.81
2019-02-01,3.94,3.54,5.25
2019-03-01,4.0,3.55,5.47
2019-04-01,4.41,3.87,6.08
2019-05-01,4.28,3.77,5.78
2019-06-01,3.95,3.85,4.19
2019-07-01,3.78,3.82,3.64
2019-08-01,3.16,3.78,1.28
2019-09-01,3.0,3.75,0.71
2019-10-01,3.02,3.68,1.01
2019-11-01,2.97,3.65,0.98
2019-12-01,2.83,3.59,0.59
2020-01-01,3.24,3.73,1.81
2020-02-01,3.7,3.66,3.81
2020-03-01,3.25,3.6,2.19
2020-04-01,2.15,3.5,-1.96
2020-05-01,2.84,3.64,0.35
2020-06-01,3.33,3.71,2.16
2020-07-01,3.62,3.85,2.92
2020-08-01,4.05,3.97,4.3
2020-09-01,4.01,3.99,4.1
2020-10-01,4.09,3.98,4.42
2020-11-01,3.33,3.66,2.33
2020-12-01,3.15,3.8,1.18
2021-01-01,3.54,3.84,2.63
2021-02-01,3.76,3.87,3.43
2021-03-01,4.67,4.12,6.31
2021-04-01,6.08,4.13,12.34
2021-05-01,5.89,4.37,10.76
2021-06-01,5.88,4.58,10.0
2021-07-01,5.81,4.66,9.39
2021-08-01,5.59,4.78,8.14
2021-09-01,6.0,4.92,9.37
2021-10-01,6.24,5.19,9.47
2021-11-01,7.37,5.67,12.61
2021-12-01,7.36,5.94,11.74
2022-01-01,7.07,6.21,9.68
2022-02-01,7.28,6.59,9.34
2022-03-01,7.45,6.78,9.45
2022-04-01,7.68,7.22,9.07
2022-05-01,7.65,7.28,8.77
2022-06-01,7.99,7.49,9.47
2022-07-01,8.15,7.65,9.65
2022-08-01,8.7,8.05,10.65
2022-09-01,8.7,8.28,9.96
2022-10-01,8.41,8.42,8.36
2022-11-01,7.8,8.51,5.73
2022-12-01,7.82,8.35,6.27
2023-01-01,7.91,8.45,6.32
2023-02-01,7.62,8.29,5.65
2023-03-01,6.85,8.09,3.27
2023-04-01,6.25,7.67,2.12
2023-05-01,5.84,7.39,1.24
2023-06-01,5.06,6.89,-0.36
2023-07-01,4.79,6.64,-0.67
2023-08-01,4.64,6.08,0.37
2023-09-01,4.45,5.76,0.6
2023-10-01,4.26,5.5,0.56
2023-11-01,4.32,5.3,1.43
2023-12-01,4.66,5.09,3.39
2024-01-01,4.88,4.76,5.24
2024-02-01,4.4,4.64,3.67
2024-03-01,4.42,4.55,4.03
2024-04-01,4.65,4.37,5.54
2024-05-01,4.69,4.21,6.19
2024-06-01,4.98,4.13,7.67
2024-07-01,5.57,4.05,10.36
2024-08-01,4.99,4.0,8.03
2024-09-01,4.58,3.91,6.5
2024-10-01,4.76,3.8,7.68
2024-11-01,4.55,3.58,7.6
2024-12-01,4.21,3.65,5.95
2025-01-01,3.59,3.66,3.34
2025-02-01,3.77,3.65,4.08
2025-03-01,3.8,3.64,4.16
2025-04-01,3.93,3.93,3.76
2025-05-01,4.42,4.06,5.34
2025-06-01,4.32,4.24,4.33
2025-07-01,3.51,4.23,1.14
2025-08-01,3.57,4.23,1.38
2025-09-01,3.76,4.28,2.02
2025-10-01,3.57,4.28,1.18
2025-11-01,3.8,4.43,1.73
2025-12-01,3.69,4.33,1.61
2026-01-01,3.79,4.52,1.39
